"","name","mz","rt","Annotation.type","ID","compound.name","isotope","adduct","score","confidence"
"110","M341T690",341.10333,690.425,"adductAnnotation","C14877","S-[2-(N7-Guanyl)ethyl]-N-acetyl-L-cysteine","[M]","M+H",0.921191349999996,"grade2"
"111","M339T498",339.18836,498.035,"adductAnnotation","C17583","6'-Dehydro-6'-oxoparomamine","[M]","M+NH4",0.909968150001731,"grade2"
"112","M338T499",338.1855,498.555,"metAnnotation","C02993","Kyotorphin","[M]","M+H",0.466635970276317,"grade2"
"113","M336T732",336.08307,732.291,"metAnnotation","C01031","S-Formylglutathione","[M]","M+H",0.634301358017911,"grade2"
"114","M335T628",335.10613,628.203,"metAnnotation","C14874","Glutathione episulfonium ion","[M]","M+H",0.555861092011629,"grade2"
"115","M335T622",335.06856,622.166,"metAnnotation","C01225","sn-Glycero-3-phospho-1-inositol","[M]","M+H",0.642269211896474,"grade2"
"116","M335T809",335.0701,808.875,"metAnnotation","C04703","alpha-D-Galactosyl-(1,1')-sn-glycerol 3-phosphate","[M]","M+H",0.836818247165351,"grade2"
"117","M332T480",332.14075,479.514,"metAnnotation","C00921","Dihydropteroate","[M]","M+NH4",0.722742798622665,"grade2"
"118","M330T570",330.1368,570.045,"adductAnnotation","C01625","Vicianose","[M]","M+NH4",0.834276233331877,"grade2"
"119","M330T524",330.05559,523.536,"seed","C00575","3',5'-Cyclic AMP","[M]","M+H",0.863145368774236,"grade1"
"120","M328T711",328.02815,711.069,"adductAnnotation","C01151","D-Ribose 1,5-bisphosphate","[M]","M+NH4",0.400141266668716,"grade2"
"121","M327T403",327.13695,403.4345,"metAnnotation","C04332","6,7-Dimethyl-8-(D-ribityl)lumazine","[M]","M+H",0.552858517800046,"grade2"
"122","M327T619",327.1243,619.2355,"adductAnnotation","C04332","6,7-Dimethyl-8-(D-ribityl)lumazine","[M]","M+H",0.667277349999532,"grade2"
"123","M325T738",325.11015,738.149,"metAnnotation","C00051","Glutathione","[M]","M+NH4",0.742005979480721,"grade2"
"124","M325T563",325.04915,563.1925,"adductAnnotation","C01168","Pseudouridine 5'-phosphate","[M]","M+H",0.629691533333073,"grade2"
"125","M325T833",325.03948,832.505,"metAnnotation","C00105","UMP","[M]","M+H",0.871074186153345,"grade2"
"126","M322T553",322.10274,552.764,"metAnnotation","C04544","gamma-L-Glutamyl-L-cysteinyl-beta-alanine","[M]","M+H",0.437409263132282,"grade2"
"127","M322T719",322.10276,719.226,"adductAnnotation","C04544","gamma-L-Glutamyl-L-cysteinyl-beta-alanine","[M]","M+H",0.721024033331654,"grade2"
"128","M317T656",317.11097,656.173,"metAnnotation","C03492","D-4'-Phosphopantothenate","[M]","M+NH4",0.889597616628923,"grade2"
"129","M315T697",315.12335,696.726,"adductAnnotation","C00921","Dihydropteroate","[M]","M+H",0.677338016664805,"grade2"
"130","M308T763",308.15563,762.826,"metAnnotation","C03406","N-(L-Arginino)succinate","[M]","M+NH4",0.885990671192969,"grade2"
"131","M308T853",308.08748,853.369,"adductAnnotation","C00051","Glutathione","[M]","M+H",0.621944200002702,"grade2"
"132","M308T743",308.08854,743.202,"seed","C00051","Glutathione","[M]","M+H",0.910190616946014,"grade1"
"133","M307T405",307.04024,404.9,"adductAnnotation","C06673","4-Carboxy-4'-sulfoazobenzene","[M]","M+H",0.806861950001481,"grade2"
"134","M305T691",305.08294,691.14,"metAnnotation","C03506","Indoleglycerol phosphate","[M]","M+NH4",0.788880419841209,"grade2"
"135","M304T624",304.09905,624.062,"metAnnotation","C03838","5'-Phosphoribosylglycinamide","[M]","M+NH4",0.567451120983084,"grade2"
"136","M300T62",300.28607,62.0715,"seed","C16512","Palmitoylethanolamide","[M]","M+H",0.853879374024049,"grade1"
"137","M300T193",300.28575,193.043,"adductAnnotation","C02934","3-Dehydrosphinganine","[M]","M+H",0.72260373333387,"grade2"
"138","M300T832",300.08044,831.719,"adductAnnotation","C03492","D-4'-Phosphopantothenate","[M]","M+H",0.756564650001224,"grade2"
"139","M300T644",300.08538,644.145,"metAnnotation","C03492","D-4'-Phosphopantothenate","[M]","M+H",0.859295202363369,"grade2"
"140","M298T774",298.09372,774.014,"seed","C00170","5'-Methylthioadenosine","[M]","M+H",0.921810579929458,"grade1"
"141","M296T730",296.06246,730.2465,"metAnnotation","C03373","Aminoimidazole ribotide","[M]","M+H",0.827218728149293,"grade2"
"142","M293T893",293.0945,893.0715,"seed","C00284","EDTA","[M]","M+H",0.905578504340993,"grade1"
"143","M293T854",293.09452,853.591,"seed","C00284","EDTA","[M]","M+H",0.868604044424369,"grade1"
"144","M293T952",293.09511,952.1995,"seed","C00284","EDTA","[M]","M+H",0.904184289976031,"grade1"
"145","M293T821",293.09532,820.879,"seed","C00284","EDTA","[M]","M+H",0.892478446198945,"grade1"
"146","M291T872_2",291.12603,872.235,"seed","C03406","N-(L-Arginino)succinate","[M]","M+H",0.916586600481741,"grade1"
"147","M290T472",290.19255,472.258,"metAnnotation","C19767","7-(3-Methylbut-2-enyl)-L-tryptophan","[M]","M+NH4",0.711513969895639,"grade2"
"148","M290T740",290.13147,739.942,"adductAnnotation","C20917","Tabtoxin","[M]","M+H",0.787809033332015,"grade2"
"149","M288T611",288.09764,611.045,"metAnnotation","C17238","S-(Hydroxyphenylacetothiohydroximoyl)-L-cysteine","[M]","M+NH4",0.448080672098731,"grade2"
"150","M288T658",288.0712,657.9835,"metAnnotation","C03506","Indoleglycerol phosphate","[M]","M+H",0.711175707368828,"grade2"
"151","M287T56_2",287.23322,55.532,"seed","C00473","Retinol","[M]","M+H",0.659144565633394,"grade1"
"152","M287T625",287.06632,624.934,"adductAnnotation","C03838","5'-Phosphoribosylglycinamide","[M]","M+H",0.760046866665846,"grade2"
