name,mz,rt,Annotation.type,annotated.from.ID,annotated.from.peak,ID,compound.name,isotope,adduct,Formula,score,peak.group,confidence
M234T533,234.06367,532.8975,isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation,C00669;C02076;C16361;C07478;C05600;C03063;C07479;C19792;C11544;C18318;C20934;C00294;C01297;C20920;C20918,M233T533;M233T533;M233T533;M233T533;M233T533;M233T533;M233T533;M233T533;M233T533;M233T533;M233T533;M233T533;M233T533;M233T533;M233T533,C00669;C02076;C16361;C07478;C05600;C03063;C07479;C19792;C11544;C18318;C20934;C00294;C01297;C20920;C20918,"gamma-L-Glutamyl-L-cysteine;Sedoheptulose;1,3,7-Trimethyluric acid;2-Hydroxy-5-methyl-cis,cis-muconate;2-Hydroxyhepta-2,4-dienedioate;2-Oxohept-3-enedioate;2-Oxo-5-methyl-cis-muconate;2-O-(alpha-D-Glucopyranosyl)-D-glycerate;2-O-(alpha-D-Mannosyl)-D-glycerate;cis,cis-2,4-Dihydroxy-5-methyl-6-oxo-2,4-hexadienoate;3-Deoxy-D-glycero-D-galacto-non-2-ulosonic acid;Inosine;6-Hydroxypseudooxynicotine;Tabtoxinine-delta-lactam;Tabtoxinine-beta-lactam",[M+1];[M+1];[M+1];[M+1];[M+1];[M+1];[M+1];[M+1];[M+1];[M+1];[M+1];[M+1];[M+1];[M+1];[M+1],M+H-H2O;M+Na;M+Na;M+CH3COO+2H;M+CH3COO+2H;M+CH3COO+2H;M+CH3COO+2H;M+H-2H2O;M+H-2H2O;M+CH3COO+2H;M+H-2H2O;M+H-2H2O;M+K;M+2Na-H;M+2Na-H,C8H14N2O5S;C7H14O7;C8H10N4O3;C7H8O5;C7H8O5;C7H8O5;C7H8O5;C9H16O9;C9H16O9;C7H8O5;C9H16O9;C10H12N4O5;C10H14N2O2;C7H12N2O4;C7H12N2O4,0.912020295033047;0.809492879813571;0.796977603289175;0.708040250231368;0.708040250231368;0.708040250231368;0.708040250231368;0.708040250231368;0.708040250231368;0.708040250231368;0.708040250231368;0.680921496803423;0.586257716954234;0.548172880615643;0.548172880615643,C20920_1;C20918_2;C02076_2;C03063_2;C05600_2;C07479_2;C07478_3;C16361_4;C01297_4;C18318_3;C00669_1;C19792_2;C20934_1;C11544_2;C00294_5,grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2
M234T626,234.09444,625.509,metAnnotation,C16600,M235T624,C20582,cis-(Homo)3-aconitate,[M],M+NH4,C9H12O6,0.484170998132237,C20582_8,grade3
M234T361,234.09421,360.723,adductAnnotation,C00559,M216T361,C00559,Deoxyadenosine,[M],M+H-H2O,C10H13N5O3,0.721848833333392,C00559_1,grade3
M234T603,234.0944,602.7,adductAnnotation,C20582,M199T605,C20582,cis-(Homo)3-aconitate,[M],M+NH4,C9H12O6,0.519966233333207,C20582_5,grade3
M234T745,234.1136,744.58,isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation,C15767;C21015;C04390;C03415;C16850;C01152;C03298,M233T745;M233T745;M233T745;M233T745;M233T745;M233T745;M233T745,C15767;C21015;C04390;C03415;C16850;C01152;C03298,"4-(L-gamma-Glutamylamino)butanoate;gamma-L-Glutamyl-L-2-aminobutyrate;N6-Acetyl-LL-2,6-diaminoheptanedioate;N2-Succinyl-L-ornithine;2-Amino-3,7-dideoxy-D-threo-hept-6-ulosonic acid;N(pi)-Methyl-L-histidine;Nalpha-Methylhistidine",[M+1];[M+1];[M+1];[M+1];[M+1];[M+1];[M+1],M+H;M+H;M+H;M+H;M+CH3CN+H;M+CH3CN+Na;M+CH3CN+Na,C9H16N2O5;C9H16N2O5;C9H16N2O5;C9H16N2O5;C7H13NO5;C7H11N3O2;C7H11N3O2,0.815145147262488;0.815145147262488;0.815145147262488;0.815145147262488;0.815145147262488;0.52981534206931;0.52981534206931,C03298_8;C01152_7;C21015_9;C15767_9;C04390_10;C03415_9;C16850_4,grade2;grade2;grade2;grade2;grade2;grade2;grade2
M234T478,234.11365,477.667,isotopeAnnotation;isotopeAnnotation;isotopeAnnotation,C04390;C01152;C03298,M233T478_1;M233T478_1;M233T478_1,C04390;C01152;C03298,"N6-Acetyl-LL-2,6-diaminoheptanedioate;N(pi)-Methyl-L-histidine;Nalpha-Methylhistidine",[M+1];[M+1];[M+1],M+H;M+CH3CN+Na;M+CH3CN+Na,C9H16N2O5;C7H11N3O2;C7H11N3O2,0.841899105711082;0.552624186961044;0.552624186961044,C03298_1;C01152_1;C04390_1,grade2;grade2;grade2
M234T1318,234.13046,1317.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M234T1272,234.13056,1271.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M234T1361,234.13055,1361.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M234T728,234.13058,727.5635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
